  i	        epsilon	     Acceptance rate	     seconds	       log(Z_tot)	     log(Var(Z_tot))	            log(Z_D)	       log(Var(Z_D))	            log(Z_L)	       log(Var(Z_L))	        log(Var_min)	           Delta_max	          Delta_LFNS
 28	       -66278.2	             0.18315	       20.46	         -9089.75	            -18179.5	              -66296	             -132587	            -9089.75	            -18179.5	            -18184.6	             57212.5	          -0.0786726
 29	       -63099.9	            0.187266	        4.38	         -9089.85	            -18179.7	            -63111.8	             -126219	            -9089.85	            -18179.7	            -18184.7	             54028.1	          -0.0800666
 30	       -60296.4	            0.193798	        0.54	         -9089.96	            -18179.9	              -60308	             -120612	            -9089.96	            -18179.9	            -18184.9	             51224.3	          -0.0814369
 31	         -57076	            0.157729	        6.31	         -9090.06	            -18180.1	            -57188.9	             -114373	            -9090.06	            -18180.1	            -18185.1	               48105	          -0.0827846
 32	       -55355.3	            0.149701	        7.12	         -5017.88	            -10035.8	            -55371.9	             -110739	            -5017.88	            -10035.8	            -10040.7	             50360.2	          -0.0841108
 33	       -52783.7	            0.228311	         1.4	         -5017.99	              -10036	            -52793.5	             -105583	            -5017.99	              -10036	            -10040.9	             47781.7	          -0.0854165
 34	       -50626.8	            0.157233	      136.99	         -598.679	            -1197.35	            -50641.3	             -101278	            -598.679	            -1197.35	            -1202.25	             50048.9	          -0.0867026
 35	         -48689	            0.142045	        0.36	         -598.784	            -1197.56	            -48805.6	            -97606.6	            -598.784	            -1197.56	            -1202.43	               48213	            -0.08797
 36	       -46547.3	            0.140056	        0.38	         -598.889	            -1197.77	            -46598.1	            -93191.8	            -598.889	            -1197.77	            -1202.61	             46005.5	          -0.0892195
 37	       -44923.2	            0.144092	        0.42	         -598.994	            -1197.98	              -44946	            -89887.5	            -598.994	            -1197.98	            -1202.79	             44353.2	          -0.0904518
 38	       -44090.9	            0.121359	        0.66	           -599.1	            -1198.19	            -44101.4	            -88198.3	              -599.1	            -1198.19	            -1202.98	             43508.5	          -0.0916677
 39	       -42678.3	            0.108932	        0.49	         -599.205	             -1198.4	            -42689.4	            -85374.4	            -599.205	             -1198.4	            -1203.16	             42096.5	          -0.0928677
 40	         -41306	            0.113379	        0.68	          -599.31	            -1198.61	              -41366	            -82727.4	             -599.31	            -1198.61	            -1203.34	             40772.9	          -0.0940525
 41	       -39652.2	            0.102459	        0.45	         -599.415	            -1198.82	            -39690.7	              -79377	            -599.415	            -1198.82	            -1203.53	             39097.5	          -0.0952227
 42	       -38376.7	             0.10101	        0.59	          -599.52	            -1199.03	            -38405.2	              -76806	             -599.52	            -1199.03	            -1203.72	             37811.9	          -0.0963787
 43	       -37111.8	           0.0881834	        0.46	         -599.625	            -1199.24	            -37164.8	            -74325.1	            -599.625	            -1199.24	             -1203.9	             36571.4	          -0.0975211
 44	       -35734.7	            0.062422	       55.58	         -212.894	            -425.777	            -35768.3	            -71532.2	            -212.894	            -425.777	            -430.416	             35561.6	          -0.0986504
 45	       -34549.2	                 0.1	        2.39	         -212.999	            -425.987	            -34564.8	            -69125.2	            -212.999	            -425.987	            -430.604	               34358	           -0.099767
 46	       -33464.8	           0.0912409	        0.45	         -213.104	            -426.197	            -33494.1	            -66983.7	            -213.104	            -426.197	            -430.792	             33287.2	           -0.100871
 47	       -32530.1	            0.100604	       20.27	         -213.209	            -426.407	              -32553	            -65101.6	            -213.209	            -426.407	            -430.981	             32346.1	           -0.101964
 48	       -31490.9	           0.0766871	        3.65	         -213.314	            -426.618	            -31524.2	            -63043.9	            -213.314	            -426.618	             -431.17	             31317.1	           -0.103045
 49	       -30576.5	            0.110619	       61.82	         -213.419	            -426.828	            -30612.1	            -61219.7	            -213.419	            -426.828	            -431.359	             30404.9	           -0.104114
 50	       -29299.5	            0.139665	        2.95	         -213.524	            -427.038	            -29358.6	            -58712.6	            -213.524	            -427.038	            -431.549	             29151.2	           -0.105173
 51	       -28093.9	            0.121065	        0.54	         -213.629	            -427.248	            -28164.9	            -56325.3	            -213.629	            -427.248	             -431.74	             27957.5	           -0.106222
 52	         -27220	            0.111111	        0.41	         -213.735	            -427.458	            -27240.1	            -54475.7	            -213.735	            -427.458	             -431.93	             27032.6	            -0.10726
 53	         -26281	            0.131579	       72.07	          -213.84	            -427.668	            -26307.3	            -52611.2	             -213.84	            -427.668	            -432.122	             26099.7	           -0.108288
 54	       -25467.2	            0.104822	        0.73	         -213.945	            -427.878	            -25482.2	            -50959.9	            -213.945	            -427.878	            -432.313	             25274.5	           -0.109307
 55	       -24229.1	            0.101215	        1.06	         -209.527	            -419.063	            -24241.7	            -48480.1	            -209.527	            -419.063	            -423.459	             24038.3	           -0.122396
 56	         -23589	            0.101215	       50.53	         -209.632	            -419.273	            -23601.5	            -47198.6	            -209.632	            -419.273	            -423.651	             23398.1	           -0.123407
 57	       -22579.1	            0.134409	        4.25	         -209.737	            -419.484	            -22592.2	              -45180	            -209.737	            -419.484	            -423.843	             22388.7	           -0.124409
 58	       -21537.4	            0.092081	        4.17	         -209.842	            -419.694	            -21555.5	            -43106.6	            -209.842	            -419.694	            -424.036	             21351.9	           -0.125403
 59	       -20578.4	           0.0912409	        35.3	         -209.948	            -419.904	            -20594.1	            -41183.6	            -209.948	            -419.904	            -424.229	             20390.3	           -0.126388
 60	         -19779	           0.0963391	       47.53	         -210.053	            -420.114	            -19793.1	            -39581.7	            -210.053	            -420.114	            -424.423	             19589.2	           -0.127365
 61	       -18916.8	           0.0830565	        2.22	         -210.158	            -420.324	            -18936.4	            -37868.3	            -210.158	            -420.324	            -424.616	             18732.4	           -0.128334
 62	         -17870	            0.101215	       42.07	         -210.263	            -420.534	            -17914.2	            -35823.8	            -210.263	            -420.534	             -424.81	             17710.1	           -0.129295
 63	       -17178.6	            0.111111	        3.29	         -210.368	            -420.744	            -17203.7	            -34402.9	            -210.368	            -420.744	            -425.004	             16999.5	           -0.130248
 64	         -16416	           0.0965251	       49.75	         -210.473	            -420.954	            -16450.3	            -32896.1	            -210.473	            -420.954	            -425.199	               16246	           -0.131194
 65	         -15747	           0.0721501	        4.73	         -210.578	            -421.164	            -15767.3	            -31531.5	            -210.578	            -421.164	            -425.393	             15562.9	           -0.132132
