  i	        epsilon	     Acceptance rate	     seconds	       log(Z_tot)	     log(Var(Z_tot))	            log(Z_D)	       log(Var(Z_D))	            log(Z_L)	       log(Var(Z_L))	        log(Var_min)	           Delta_max	          Delta_LFNS
 72	       -851.471	            0.157729	      124.18	         -837.054	            -1674.43	            -861.246	            -1725.83	            -837.054	            -1674.43	            -1678.24	             30.2305	           -0.323347
 73	       -850.466	            0.112867	      163.92	         -837.109	            -1674.64	             -860.28	            -1723.98	            -837.109	            -1674.64	            -1678.34	             29.1594	           -0.381264
 74	       -849.284	            0.128866	      146.53	         -837.211	            -1674.85	            -859.265	            -1721.88	            -837.211	            -1674.85	            -1678.53	             28.0396	           -0.385424
 75	       -848.173	            0.128205	      151.87	         -837.304	            -1675.06	            -858.327	            -1719.95	            -837.304	            -1675.06	             -1678.7	             26.9962	           -0.400706
 76	        -847.25	             0.16835	      108.04	         -837.398	            -1675.27	            -857.424	            -1718.18	            -837.398	            -1675.27	            -1678.88	             25.9878	           -0.414116
 77	       -846.496	            0.134048	      156.57	         -837.457	            -1675.47	            -856.572	            -1716.64	            -837.457	            -1675.47	            -1678.98	             25.0312	           -0.468564
 78	       -845.442	            0.144509	       131.9	         -837.539	            -1675.68	            -855.763	            -1714.91	            -837.539	            -1675.68	            -1679.13	             24.1175	           -0.497066
 79	       -844.344	            0.139276	      140.22	         -837.575	            -1675.88	            -854.825	            -1712.99	            -837.575	            -1675.88	            -1679.19	              23.074	           -0.575564
 80	       -843.519	            0.188679	       83.43	         -837.622	            -1676.08	            -854.001	            -1711.41	            -837.622	            -1676.08	            -1679.27	             22.1448	           -0.643087
 81	       -842.615	            0.204082	       93.51	         -837.723	            -1676.29	            -853.173	            -1709.78	            -837.723	            -1676.29	            -1679.46	             21.2113	           -0.649394
 82	       -841.836	            0.226244	       85.67	         -837.807	             -1676.5	             -852.41	            -1708.31	            -837.807	             -1676.5	            -1679.62	             20.3436	           -0.676349
 83	       -841.015	            0.175439	      106.08	         -837.846	             -1676.7	            -851.686	            -1706.87	            -837.846	             -1676.7	            -1679.68	             19.5148	           -0.755691
 84	       -840.354	           0.0891266	      209.12	         -837.835	            -1676.88	            -850.992	            -1705.56	            -837.835	            -1676.88	            -1679.65	              18.715	           -0.890893
